pickup_date,vendor_id,passenger_count,trip_distance,payment_type,fare_amount,tip_amount
2013-01-01,CMT,1,5.199999809265137,NOC,16.5,0.0
2013-01-01,CMT,1,0.5,CRD,4.0,1.0
2013-01-01,CMT,2,2.0999999046325684,CRD,9.5,0.0
2013-01-01,CMT,2,0.699999988079071,CSH,4.5,0.0
2013-01-01,CMT,1,2.799999952316284,NOC,18.0,0.0
2013-01-01,CMT,1,1.100000023841858,CSH,6.0,0.0
2013-01-01,CMT,1,0.10000000149011612,CSH,2.5,0.0
2013-01-01,CMT,2,3.8999998569488525,CRD,14.5,0.0
2013-01-01,CMT,2,0.800000011920929,CRD,5.0,1.5
2013-01-01,CMT,1,0.699999988079071,CSH,5.0,0.0
2013-01-01,CMT,2,2.799999952316284,CSH,12.5,0.0
2013-01-01,CMT,1,0.20000000298023224,CSH,3.0,0.0
2013-01-01,CMT,1,0.699999988079071,CRD,6.5,2.0
2013-01-01,CMT,3,3.0,CSH,13.0,0.0
2013-01-01,CMT,2,0.800000011920929,CSH,4.5,0.0
2013-01-01,CMT,4,1.100000023841858,CSH,8.0,0.0
2013-01-01,CMT,1,3.0,CSH,12.0,0.0
2013-01-01,CMT,1,1.7000000476837158,CSH,11.0,0.0
2013-01-01,CMT,1,2.200000047683716,CSH,3.0,0.0
2013-01-01,CMT,1,4.400000095367432,CRD,15.5,3.299999952316284
2013-01-01,CMT,1,6.099999904632568,CSH,24.0,0.0
2013-01-01,CMT,2,8.800000190734863,CSH,27.5,0.0
2013-01-01,CMT,1,10.5,CSH,33.0,0.0
2013-01-01,CMT,1,4.799999713897705,CSH,19.0,0.0
2013-01-01,CMT,2,8.5,CRD,24.0,5.960000038146973
2013-01-01,CMT,1,12.0,CSH,34.0,0.0
2013-01-01,CMT,1,0.20000000298023224,CSH,4.5,0.0
2013-01-01,CMT,2,0.8999999761581421,CSH,7.5,0.0
2013-01-01,CMT,1,3.8999998569488525,CSH,16.5,0.0
2013-01-01,CMT,1,3.5999999046325684,CSH,14.5,0.0
2013-01-01,CMT,2,1.399999976158142,CRD,7.0,1.0
2013-01-01,CMT,4,2.299999952316284,CSH,10.0,0.0
2013-01-01,CMT,1,4.299999713897705,CRD,15.5,4.119999885559082
2013-01-01,CMT,2,1.5,CRD,7.5,2.119999885559082
2013-01-01,CMT,1,0.699999988079071,CSH,6.0,0.0
2013-01-01,CMT,1,3.299999952316284,CSH,18.5,0.0
2013-01-01,CMT,1,0.29999998211860657,CSH,3.0,0.0
2013-01-01,CMT,1,1.5,CSH,6.5,0.0
2013-01-01,CMT,1,7.199999809265137,CRD,23.5,2.799999952316284
2013-01-01,CMT,1,3.5999999046325684,CRD,13.5,2.9000000953674316
2013-01-01,CMT,1,4.599999904632568,CRD,15.0,1.0
2013-01-01,CMT,1,0.5,CSH,4.0,0.0
2013-01-01,CMT,2,2.700000047683716,CSH,10.5,0.0
2013-01-01,CMT,1,2.0999999046325684,CSH,9.5,0.0
2013-01-01,CMT,3,0.800000011920929,CSH,5.0,0.0
2013-01-01,CMT,2,0.20000000298023224,CRD,7.5,3.0
2013-01-01,CMT,1,2.0,CSH,9.0,0.0
2013-01-01,CMT,1,1.899999976158142,CSH,8.5,0.0
2013-01-01,CMT,2,2.0,CRD,8.5,0.0
2013-01-01,CMT,1,2.0999999046325684,CRD,10.0,2.0
2013-01-01,CMT,1,1.2000000476837158,CRD,7.0,1.600000023841858
2013-01-01,CMT,1,0.800000011920929,CRD,4.5,1.5
2013-01-01,CMT,4,4.799999713897705,CSH,16.0,0.0
2013-01-01,CMT,1,15.399999618530273,CSH,44.0,0.0
2013-01-01,CMT,1,3.299999952316284,CRD,15.0,3.200000047683716
2013-01-01,CMT,1,7.299999713897705,CSH,21.5,0.0
